,0,1,2,3
0,1.0,62.937,168.0,126.34
1,1.0,40.949,143.0,50.0
2,1.0,37.461,431.0,32.83
3,1.0,34.573,259.0,16.0
4,1.0,32.011,108.0,32.15
5,1.0,28.083,100.0,36.0
6,1.0,26.304,776.0,28.45
7,1.0,26.214,365.0,21.22
8,1.0,24.877,363.0,85.73
9,1.0,21.034,186.0,8.7
10,1.0,20.529,390.0,17.33
11,1.0,20.528,700.0,53.93
12,1.0,19.961,100.0,57.77
13,1.0,19.889,1030.0,19.08
14,1.0,19.733,129.0,25.94
15,1.0,19.575,442.0,18.1
16,1.0,19.536,547.0,23.52
17,1.0,19.469,318.0,10.93
18,1.0,18.861,573.0,23.1
19,1.0,18.318,73.0,16.43
20,1.0,18.301,301.0,26.91
21,1.0,18.151,299.0,7.01
22,1.0,16.936,297.0,9.09
23,1.0,16.921,293.0,22.59
24,1.0,16.7,199.0,6.84
25,1.0,16.465,50.0,17.44
26,1.0,15.993,1226.0,14.96
27,1.0,15.641,141.0,6.22
28,1.0,15.623,204.0,54.76
29,1.0,15.598,513.0,41.24
30,1.0,15.51,93.0,9.57
31,1.0,15.358,445.0,15.13
32,1.0,15.098,181.0,9.21
33,1.0,14.486,343.0,36.04
34,1.0,14.344,483.0,24.5
35,1.0,14.33,65.0,21.56
36,1.0,14.308,353.0,22.57
37,1.0,14.286,395.0,18.17
38,1.0,13.853,342.0,34.32
39,1.0,13.674,331.0,22.18
40,1.0,13.53,324.0,8.9
41,1.0,13.403,422.0,17.15
42,1.0,13.103,762.0,9.45
43,1.0,13.035,335.0,19.6
44,1.0,12.996,82.0,6.99
45,1.0,12.8,190.0,6.23
46,1.0,12.776,291.0,11.27
47,1.0,12.615,395.0,13.89
48,1.0,12.556,1186.0,13.08
49,1.0,12.532,84.0,24.67
50,1.0,12.214,155.0,13.76
51,1.0,11.771,160.0,8.66
52,1.0,11.695,262.0,25.28
53,1.0,11.673,256.0,6.88
54,1.0,11.585,413.0,11.48
55,1.0,11.551,91.0,73.77
56,1.0,11.496,300.0,18.33
57,1.0,11.38,369.0,15.81
58,1.0,11.193,318.0,9.13
59,1.0,11.094,220.0,12.61
60,1.0,11.035,286.0,8.24
61,1.0,10.88,183.0,16.02
62,1.0,10.857,72.0,50.43
63,1.0,10.737,313.0,13.9
64,1.0,10.718,95.0,19.15
65,1.0,10.707,527.0,27.23
66,1.0,10.535,61.0,1.58
67,1.0,10.482,548.0,12.29
68,1.0,10.475,207.0,18.39
69,1.0,10.443,61.0,4.63
70,1.0,10.358,243.0,22.09
71,1.0,10.326,266.0,17.38
72,1.0,10.315,431.0,7.44
73,1.0,10.219,241.0,12.47
74,1.0,10.12,29.0,18.6
75,1.0,10.08,220.0,26.52
76,1.0,9.996,232.0,15.26
77,1.0,9.921,328.0,12.38
78,1.0,9.807,48.0,16.45
79,1.0,9.799,216.0,6.36
80,1.0,9.757,156.0,17.48
81,1.0,9.614,196.0,8.1
82,1.0,9.612,473.0,11.37
83,1.0,9.569,47.0,12.49
84,1.0,9.556,297.0,8.79
85,1.0,9.448,270.0,10.51
86,1.0,9.417,122.0,21.69
87,1.0,9.231,21.0,0.0
88,1.0,9.177,282.0,24.43
89,1.0,9.172,175.0,39.67
90,1.0,9.157,309.0,15.22
91,1.0,9.144,159.0,13.7
92,1.0,9.074,388.0,10.0
93,1.0,9.03,113.0,6.76
94,1.0,9.027,248.0,11.71
95,1.0,9.008,537.0,16.48
96,1.0,8.999,165.0,6.75
97,1.0,8.916,179.0,6.69
98,1.0,8.86,248.0,13.08
99,1.0,8.856,72.0,10.29
100,1.0,8.846,99.0,8.24
101,1.0,8.83,51.0,10.73
102,1.0,8.801,133.0,13.14
103,1.0,8.705,237.0,15.78
104,1.0,8.632,105.0,19.05
105,1.0,8.596,114.0,8.05
106,1.0,8.574,111.0,11.15
107,1.0,8.523,148.0,10.39
108,1.0,8.483,448.0,10.94
109,1.0,8.454,395.0,20.9
110,1.0,8.446,270.0,7.77
111,1.0,8.413,293.0,12.78
112,1.0,8.366,146.0,35.5
113,1.0,8.316,74.0,26.39
114,1.0,8.298,50.0,11.44
115,1.0,8.259,117.0,16.47
116,1.0,8.184,109.0,4.01
117,1.0,8.176,231.0,24.79
118,1.0,8.089,183.0,30.93
119,1.0,8.087,156.0,21.19
120,1.0,8.071,177.0,25.64
121,1.0,8.037,26.0,15.37
122,1.0,8.01,138.0,11.5
123,1.0,7.992,208.0,11.0
124,1.0,7.985,182.0,13.38
125,1.0,7.97,88.0,6.17
126,1.0,7.954,242.0,11.13
127,1.0,7.94,164.0,25.51
128,1.0,7.868,62.0,5.32
129,1.0,7.849,216.0,13.17
130,1.0,7.828,402.0,7.34
131,1.0,7.817,192.0,14.46
132,1.0,7.799,243.0,9.64
133,1.0,7.795,607.0,9.48
134,1.0,7.792,93.0,4.14
135,1.0,7.743,94.0,18.39
136,1.0,7.653,148.0,10.39
137,1.0,7.638,58.0,8.44
138,1.0,7.636,145.0,6.49
139,1.0,7.531,365.0,8.16
140,1.0,7.53,230.0,26.94
141,1.0,7.491,224.0,11.06
142,1.0,7.484,392.0,8.65
143,1.0,7.475,235.0,6.6
144,1.0,7.471,245.0,12.12
145,1.0,7.447,86.0,4.88
