,0,1,2,3
0,0.0,0.248,68.0,1.2
1,0.0,0.476,36.0,2.94
2,2.0,0.464,42.0,3.2
3,1.0,0.845,122.0,4.25
4,0.0,0.363,56.0,4.33
5,4.0,0.1,1.0,1.0
6,4.0,0.1,1.0,1.0
7,0.0,0.345,55.0,0.94
8,1.0,1.614,150.0,4.69
9,1.0,1.614,150.0,4.69
10,1.0,1.48,41.0,5.32
11,3.0,0.301,22.0,1.77
12,4.0,0.161,23.0,0.84
13,1.0,2.01,223.0,10.76
14,1.0,1.23,72.0,6.73
15,2.0,0.464,42.0,3.2
16,2.0,0.373,48.0,2.58
17,0.0,0.511,26.0,3.1
18,2.0,0.365,38.0,2.64
19,1.0,0.86,52.0,5.63
20,1.0,0.99,332.0,3.04
21,1.0,0.783,28.0,5.36
22,2.0,0.791,66.0,5.59
23,1.0,1.587,121.0,9.42
24,1.0,7.484,392.0,8.65
25,1.0,3.599,390.0,7.14
26,1.0,9.008,537.0,16.48
27,1.0,1.567,208.0,3.51
28,1.0,7.484,392.0,8.65
29,4.0,0.1,1.0,1.0
30,1.0,9.008,537.0,16.48
31,1.0,0.99,332.0,3.04
32,1.0,15.993,1226.0,14.96
33,1.0,1.055,58.0,4.81
34,0.0,0.125,4.0,0.0
35,1.0,1.057,103.0,7.05
36,1.0,1.614,150.0,4.69
37,2.0,0.777,73.0,3.18
38,1.0,1.614,150.0,4.69
39,1.0,1.614,150.0,4.69
40,3.0,0.304,58.0,0.68
41,1.0,4.103,449.0,8.2
42,0.0,0.387,31.0,0.0
43,3.0,0.519,15.0,1.0
44,0.0,0.313,13.0,2.37
45,1.0,2.823,252.0,11.83
46,3.0,0.32,33.0,1.18
47,0.0,0.484,17.0,0.0
48,2.0,0.502,83.0,3.87
49,3.0,0.268,11.0,0.67
50,1.0,1.057,103.0,7.05
51,1.0,1.468,214.0,7.32
52,1.0,2.823,252.0,11.83
53,1.0,2.01,223.0,10.76
54,0.0,0.249,7.0,1.12
55,1.0,1.365,178.0,7.8
56,1.0,0.929,148.0,5.02
57,1.0,1.78,199.0,13.21
58,1.0,2.147,162.0,8.94
59,1.0,0.666,36.0,3.24
60,1.0,0.666,36.0,3.24
61,0.0,0.24,14.0,0.0
62,1.0,1.35,55.0,5.69
63,4.0,0.139,5.0,0.13
64,1.0,1.614,150.0,4.69
65,1.0,2.153,218.0,12.03
66,2.0,0.578,120.0,3.71
67,3.0,0.195,13.0,0.5
68,0.0,0.153,10.0,0.0
69,0.0,0.3,17.0,0.0
70,0.0,0.123,11.0,1.02
71,0.0,0.11,2.0,0.45
72,0.0,0.11,2.0,0.45
73,0.0,0.602,88.0,3.13
74,0.0,0.129,3.0,0.0
75,0.0,0.326,189.0,4.4
76,0.0,0.11,2.0,0.45
77,4.0,0.218,17.0,1.12
78,1.0,1.614,150.0,4.69
79,1.0,1.614,150.0,4.69
80,0.0,0.124,1.0,1.0
81,0.0,0.169,7.0,0.52
82,3.0,0.304,58.0,0.68
83,3.0,0.304,58.0,0.68
84,0.0,0.134,10.0,0.3
85,4.0,0.118,3.0,0.11
86,1.0,1.614,150.0,4.69
87,1.0,0.534,68.0,4.35
88,1.0,15.993,1226.0,14.96
89,1.0,9.008,537.0,16.48
90,1.0,1.613,133.0,10.45
91,0.0,0.387,31.0,0.0
92,1.0,0.76,139.0,4.19
93,1.0,1.075,49.0,4.85
94,0.0,0.387,31.0,0.0
95,1.0,0.558,49.0,3.98
96,1.0,1.587,121.0,9.42
97,1.0,0.898,26.0,10.92
98,4.0,0.1,1.0,1.0
99,0.0,0.168,9.0,0.0
100,3.0,0.253,42.0,1.42
101,0.0,0.201,3.0,1.76
102,3.0,0.304,58.0,0.68
103,0.0,0.166,7.0,0.79
104,2.0,0.502,83.0,3.87
105,0.0,0.347,15.0,5.06
106,1.0,1.614,150.0,4.69
107,0.0,0.602,88.0,3.13
108,1.0,0.666,36.0,3.24
109,1.0,9.008,537.0,16.48
110,1.0,1.778,175.0,7.17
111,1.0,1.262,119.0,9.11
112,1.0,0.666,36.0,3.24
113,3.0,0.276,51.0,1.61
114,1.0,3.599,390.0,7.14
115,1.0,3.599,390.0,7.14
116,1.0,0.914,63.0,9.8
117,0.0,0.261,12.0,0.0
118,1.0,1.075,49.0,4.85
119,1.0,1.057,38.0,5.59
120,1.0,9.008,537.0,16.48
121,1.0,1.099,60.0,2.3
122,1.0,0.666,36.0,3.24
